timestamp_utc,exchange,symbol,symbol_n,funding_rate,next_funding_rate,next_funding_time,funding_time,raw_note
2025-11-16 11:07:15+0000,bitget,WLDUSDT_UMCBL,WLD/USDT,1.1e-05,,,2025-11-16 16:00:00+0000,symbol_used=WLDUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:15+0000,bitget,WLFIUSDT_UMCBL,WLFI/USDT,-5.8e-05,,,2025-11-16 12:00:00+0000,symbol_used=WLFIUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:16+0000,bitget,XAUTUSDT_UMCBL,XAUT/USDT,5e-05,,,2025-11-16 12:00:00+0000,symbol_used=XAUTUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:16+0000,bitget,XLMUSDT_UMCBL,XLM/USDT,1e-05,,,2025-11-16 16:00:00+0000,symbol_used=XLMUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:16+0000,bitget,XPLUSDT_UMCBL,XPL/USDT,-6.9e-05,,,2025-11-16 12:00:00+0000,symbol_used=XPLUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:16+0000,bitget,XRPUSDT_UMCBL,XRP/USDT,-9.8e-05,,,2025-11-16 16:00:00+0000,symbol_used=XRPUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:16+0000,bitget,XVGUSDT_UMCBL,XVG/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=XVGUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:16+0000,bitget,ZECUSDT_UMCBL,ZEC/USDT,-0.000272,,,2025-11-16 12:00:00+0000,symbol_used=ZECUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:16+0000,bitget,ZENUSDT_UMCBL,ZEN/USDT,0.0001,,,2025-11-16 16:00:00+0000,symbol_used=ZENUSDT_UMCBL; next_settle_time=2025-11-16 16:00:00+0000
2025-11-16 11:07:16+0000,bitget,ZEREBROUSDT_UMCBL,ZEREBRO/USDT,0.000465,,,2025-11-16 12:00:00+0000,symbol_used=ZEREBROUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:16+0000,bitget,ZORAUSDT_UMCBL,ZORA/USDT,-0.001739,,,2025-11-16 12:00:00+0000,symbol_used=ZORAUSDT_UMCBL; next_settle_time=2025-11-16 12:00:00+0000
2025-11-16 11:07:16+0000,bybit,0GUSDT,0G/USDT,-0.00065597,,,2025-11-16 12:00:00+0000,
2025-11-16 11:07:16+0000,bybit,AAVEUSDT,AAVE/USDT,-2.394e-05,,,2025-11-16 16:00:00+0000,
2025-11-16 11:07:16+0000,bybit,ADAUSDT,ADA/USDT,4.764e-05,,,2025-11-16 16:00:00+0000,
2025-11-16 11:07:16+0000,bybit,AEROUSDT,AERO/USDT,4.724e-05,,,2025-11-16 12:00:00+0000,
2025-11-16 11:07:16+0000,bybit,AIAUSDT,AIA/USDT,0.00049391,,,2025-11-16 12:00:00+0000,
2025-11-16 11:07:16+0000,bybit,ALCHUSDT,ALCH/USDT,5e-05,,,2025-11-16 12:00:00+0000,
2025-11-16 11:07:16+0000,bybit,ALLOUSDT,ALLO/USDT,5e-05,,,2025-11-16 12:00:00+0000,
2025-11-16 11:07:16+0000,bybit,API3USDT,API3/USDT,1.25e-05,,,2025-11-16 12:00:00+0000,
2025-11-16 11:07:16+0000,bybit,APTUSDT,APT/USDT,4.301e-05,,,2025-11-16 16:00:00+0000,
2025-11-16 11:07:16+0000,bybit,ARBUSDT,ARB/USDT,0.0001,,,2025-11-16 16:00:00+0000,
2025-11-16 11:07:16+0000,bybit,ASTERUSDT,ASTER/USDT,5e-05,,,2025-11-16 12:00:00+0000,
2025-11-16 11:07:16+0000,bybit,ATOMUSDT,ATOM/USDT,-3.591e-05,,,2025-11-16 16:00:00+0000,
2025-11-16 11:07:16+0000,bybit,AVAXUSDT,AVAX/USDT,2.549e-05,,,2025-11-16 16:00:00+0000,
